,uuid,KEY,City,Site,Sex_HH,ObsHandWashPLACE,ObsHandWashSOAP,ObsHandWashWATER,ToiletFacility,ToiletFacilityTYPE,ToiletFacilityTYPE_Dry,ToiletFacilityTYPE_Flush,ToiletFacilitySHARE,ToiletROOF,ToiletFacilityCLEAN,ToiletFacilitySAFE,StreetFood,dist2wc,HH_Recor_2_lag,HH_Recor_2_std,b_area,NN_100,n_blg_cc,n_blg_ccM,n_CAR,n_CARM,n_mn_Bdev,n_mn_BdevM,WCdirtyS
0,51e3d6c74bba45febd33457e11a9b459,uuid:464423ec-b7a0-4924-b3e4-ce85bb6a5286,Abidjan,Azito,M,Obs_Mobile,SoapOrDeterg,Water_NOT_OK,Own_Dwelling,Flush,,Flush_septic_tank,N,Y,,,0_1,0.0,37.64098000106577,0.5458867974523242,160.28334023843814,152,0.476315460167571,0.521258861126745,0.676245685258966,0.517385923673974,2.472029053314696,3.53491761203092,
1,51e3d6c74bba45febd33457e11a9b459,uuid:b3296fc2-e492-42ae-adb3-7bd1d50ce72e,Abidjan,Azito,M,Obs_Fixed,SoapOrDeterg,Water_OK,Own_Dwelling,Flush,,Flush_septic_tank,N,Y,,,2_4,0.0,38.58610898060822,0.620838631953438,190.2705308522102,95,0.451753460434136,0.521635855544737,0.911541178779637,0.482165001870878,1.056955715081947,2.252287894062463,
2,51e3d6c74bba45febd33457e11a9b459,uuid:ecad555f-212d-4188-9228-bb80e0fcba51,Abidjan,Azito,M,Obs_Fixed,SoapOrDeterg,Water_OK,Own_Dwelling,Flush,,Flush_septic_tank,N,Y,,,0_1,0.0,36.477013645941256,0.45358043979900997,339.4435189535666,94,0.314719692254213,0.497692445479664,0.447746394766433,0.418284329289472,2.823407738870138,3.56025299465506,
3,51e3d6c74bba45febd33457e11a9b459,uuid:9c38f788-bf34-4a13-a70e-782eea816703,Abidjan,Azito,M,Obs_Fixed,SoapOrDeterg,Water_OK,Own_Dwelling,Flush,,Flush_septic_tank,N,Y,,,2_4,0.0,41.97565743024491,0.8896409646823169,173.67970451622315,115,0.457576872133267,0.504535544072406,0.508320988304583,0.376474572438973,0.512845354852715,1.903154646045193,
4,51e3d6c74bba45febd33457e11a9b459,uuid:5af42a84-d16f-465c-bd56-8e8a07b2dda1,Abidjan,Azito,M,Obs_Mobile,SoapOrDeterg,Water_OK,Own_YardPlot,Flush,,Flush_septic_tank,N,Y,Clean,Any_time,2_4,0.0,37.62211102045853,0.5443904252721344,97.84277336872915,99,0.489621930886345,0.520547620466495,0.289503567132347,0.399063036109476,1.830034007969916,2.794061527021298,0.0
5,51e3d6c74bba45febd33457e11a9b459,uuid:50bd2169-3a72-4d7a-85d3-580667bcbe4d,Abidjan,Azito,M,Obs_Fixed,SoapOrDeterg,Water_OK,Own_Dwelling,Flush,,Flush_septic_tank,N,Y,,,2_4,0.0,37.66714312907125,0.5479616194953932,207.81876254476504,124,0.616625385800744,0.531922736109293,0.817700756283959,0.548439336047887,2.022605238410499,3.71552480849581,
6,51e3d6c74bba45febd33457e11a9b459,uuid:b08a7cd9-67cf-45a0-9552-26956400cf7a,Abidjan,Azito,M,Obs_Fixed,SoapOrDeterg,Water_OK,Own_Dwelling,Flush,,Flush_septic_tank,N,Y,,,2_4,0.0,32.95838206510021,0.17454139049881337,171.41874627020408,104,0.539697003182151,0.513751376556904,0.415604021230858,0.556119472864907,1.573132062846534,2.410600943720272,
7,51e3d6c74bba45febd33457e11a9b459,uuid:a865767a-cd99-4a27-8196-e82939a35de3,Abidjan,Azito,F,Obs_Fixed,SoapOrDeterg,Water_OK,Own_Dwelling,Flush,,Flush_septic_tank,N,Y,,,5_Or_More,0.0,39.68932438815475,0.7083272397893088,273.4909306740918,127,0.345040488223847,0.510820282185995,0.379576036015896,0.496199672460663,0.483405033318682,1.828542259692796,
8,51e3d6c74bba45febd33457e11a9b459,uuid:7ffec7a6-a940-4163-a1b1-51a2d2d69dee,Abidjan,Azito,M,Obs_Mobile,SoapOrDeterg,Water_OK,Own_Dwelling,Flush,,Flush_septic_tank,N,Y,,,2_4,0.0,34.9306562482341,0.33094921563674856,217.3755518307575,99,0.480807689252836,0.531998651427917,0.733601464928903,0.577891360403602,2.168534968100208,2.814348946270864,
9,51e3d6c74bba45febd33457e11a9b459,uuid:05d79113-0b30-48b6-a3fe-978337497171,Abidjan,Azito,F,Obs_Fixed,SoapOrDeterg,Water_OK,Own_Dwelling,Flush,,Flush_NA,N,Y,,,5_Or_More,0.0,37.756640818175384,0.5550590803998432,137.53332061848693,108,0.45619867533495,0.516917048431624,0.374522831301628,0.425842901090606,3.307322364802119,2.621757607271401,
10,51e3d6c74bba45febd33457e11a9b459,uuid:45e42a24-0fc2-4f19-80bd-7fb01925071b,Abidjan,Azito,M,Obs_Mobile,SoapOrDeterg,Water_OK,Own_Dwelling,Flush,,Flush_coveredPit,N,Y,,,2_4,0.0,38.11899948033086,0.5837953132990504,96.49828725637344,116,0.562550370882217,0.522229008110534,0.667542462458052,0.442566590767329,2.787047596259366,3.85202428675183,
